train_family_count,model,validation_family,task1_top1,task1_top3,task1_mrr,task2_exact_match,task2_normalized_edit_distance,task2_block_accuracy,task3_accuracy,family_specific_next_step_share,family_specific_task1_top1,family_specific_task1_top3
20,valid_lattice_template_retrieval,SYNTHFAMILY103,0.9375,1.0,0.96875,0.0,0.11020456123308248,0.8808433486972301,1.0,0.0625,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY104,1.0,1.0,1.0,0.0,0.09658121349776294,0.8883975568973015,1.0,0.0625,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY105,0.84375,1.0,0.921875,0.0,0.09213541479685758,0.9364007987640908,1.0,0.03125,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY106,0.875,1.0,0.9375,0.0,0.11311656873384131,0.9036168926163641,1.0,0.0625,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY107,0.90625,1.0,0.953125,0.0,0.11392804352674309,0.9104735781649058,1.0,0.03125,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY108,0.90625,1.0,0.953125,0.0,0.11474688199184344,0.9540972001408345,1.0,0.125,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY109,0.875,1.0,0.9322916666666667,0.0,0.10620888855476911,0.8875535116880995,1.0,0.03125,1.0,1.0
20,valid_lattice_template_retrieval,SYNTHFAMILY110,0.8125,1.0,0.90625,0.0,0.0947293582149216,0.9144301694722622,1.0,0.125,1.0,1.0
40,raw_exact_retrieval,SYNTHFAMILY101,0.625,0.71875,0.671875,0.0,0.24862761900714012,0.6184470767244631,1.0,0.03125,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY102,0.5625,0.71875,0.640625,0.0,0.25801066912522647,0.5456169243645216,1.0,0.0,nan,nan
40,raw_exact_retrieval,SYNTHFAMILY103,0.65625,0.75,0.703125,0.0,0.24768862741790595,0.6428846180528419,1.0,0.0625,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY104,0.71875,0.78125,0.75,0.0,0.2276571271909416,0.6561110986133106,1.0,0.0625,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY105,0.6875,0.84375,0.765625,0.0,0.2092765309256965,0.6496961862034768,1.0,0.03125,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY106,0.5,0.78125,0.640625,0.0,0.2586588894267972,0.6994908003242396,1.0,0.0625,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY107,0.65625,0.78125,0.71875,0.0,0.232753027252789,0.6556116623280882,1.0,0.03125,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY108,0.5625,0.6875,0.625,0.0,0.2527589989879394,0.6560879152391541,1.0,0.125,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY109,0.71875,0.8125,0.765625,0.03125,0.1921691149642162,0.6611747703207477,1.0,0.03125,0.0,0.0
40,raw_exact_retrieval,SYNTHFAMILY110,0.46875,0.65625,0.5625,0.0,0.2577084810654356,0.654114572235902,1.0,0.125,0.0,0.0
40,template_adapted_retrieval,SYNTHFAMILY101,0.78125,1.0,0.8854166666666666,0.0,0.14423053443437622,0.766673805223048,1.0,0.03125,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY102,0.6875,1.0,0.84375,0.0,0.15521453752852765,0.7664808288760456,1.0,0.0,nan,nan
40,template_adapted_retrieval,SYNTHFAMILY103,0.84375,1.0,0.9166666666666666,0.0,0.1539556924197906,0.7672086214954656,1.0,0.0625,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY104,0.875,1.0,0.9322916666666667,0.0,0.14323200591263704,0.7528990073555865,1.0,0.0625,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY105,0.71875,1.0,0.8489583333333334,0.0,0.14943467613499153,0.7403938610106522,1.0,0.03125,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY106,0.65625,1.0,0.8229166666666667,0.0,0.15115466766610836,0.7717187499054723,1.0,0.0625,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY107,0.84375,1.0,0.921875,0.0,0.16250945448069615,0.7724954260791713,1.0,0.03125,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY108,0.75,1.0,0.8697916666666667,0.0,0.16633314687778936,0.7510740352160254,1.0,0.125,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY109,0.84375,1.0,0.9166666666666667,0.0,0.155325827934086,0.7278540128920152,1.0,0.03125,1.0,1.0
40,template_adapted_retrieval,SYNTHFAMILY110,0.625,1.0,0.7968749999999999,0.0,0.161149884396075,0.7629076458928357,1.0,0.125,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY101,0.875,1.0,0.9322916666666666,0.0,0.098769105054268,0.9496023052795617,1.0,0.03125,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY102,0.875,1.0,0.9375,0.0,0.10630386161469824,0.9099363453057757,1.0,0.0,nan,nan
40,valid_lattice_template_retrieval,SYNTHFAMILY103,0.96875,1.0,0.984375,0.0,0.10722160668762794,0.9066956214245029,1.0,0.0625,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY104,1.0,1.0,1.0,0.0,0.09519567794025635,0.8856264857822883,1.0,0.0625,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY105,0.84375,1.0,0.9166666666666666,0.0,0.09248103691667325,0.9348887019898973,1.0,0.03125,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY106,0.875,1.0,0.9375,0.0,0.10737476203720546,0.9315458072119218,1.0,0.0625,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY107,0.9375,1.0,0.96875,0.0,0.11556836737194204,0.9089110781649058,1.0,0.03125,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY108,0.90625,1.0,0.953125,0.0,0.11865313199184344,0.9513261290258214,1.0,0.125,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY109,0.875,1.0,0.9322916666666667,0.0,0.1101763424718198,0.8902320831166709,1.0,0.03125,1.0,1.0
40,valid_lattice_template_retrieval,SYNTHFAMILY110,0.8125,1.0,0.8958333333333333,0.0,0.09952793519375006,0.9593414953574987,1.0,0.125,1.0,1.0
60,raw_exact_retrieval,SYNTHFAMILY101,0.625,0.71875,0.671875,0.0,0.24125145887319005,0.620782914277768,1.0,0.03125,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY102,0.53125,0.71875,0.625,0.0,0.2590502102731041,0.5562430290927584,1.0,0.0,nan,nan
60,raw_exact_retrieval,SYNTHFAMILY103,0.625,0.75,0.6875,0.0,0.24348392445880987,0.650138232969128,1.0,0.0625,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY104,0.71875,0.78125,0.75,0.0,0.23684529170405869,0.6735303387539621,1.0,0.0625,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY105,0.65625,0.84375,0.75,0.0,0.2052488411853168,0.6740670790309509,1.0,0.03125,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY106,0.5,0.78125,0.640625,0.0,0.254965874906259,0.7011034464070801,1.0,0.0625,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY107,0.65625,0.78125,0.71875,0.0,0.23231972893346128,0.6551783640087605,1.0,0.03125,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY108,0.5625,0.6875,0.625,0.0,0.25277292501289483,0.6551619385051769,1.0,0.125,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY109,0.71875,0.8125,0.765625,0.03125,0.19679101240499666,0.6747776622173044,1.0,0.03125,0.0,0.0
60,raw_exact_retrieval,SYNTHFAMILY110,0.4375,0.65625,0.546875,0.0,0.25701601749643027,0.6679013369417842,1.0,0.125,0.0,0.0
60,template_adapted_retrieval,SYNTHFAMILY101,0.8125,1.0,0.9010416666666666,0.0,0.14136318718168323,0.7481226091346479,1.0,0.03125,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY102,0.65625,1.0,0.8229166666666666,0.0,0.1529043896790653,0.7737892966179811,1.0,0.0,nan,nan
60,template_adapted_retrieval,SYNTHFAMILY103,0.875,1.0,0.9322916666666666,0.0,0.1539556924197906,0.7686374890623929,1.0,0.0625,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY104,0.84375,1.0,0.921875,0.0,0.14872788858624159,0.7572275417389841,1.0,0.0625,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY105,0.6875,1.0,0.84375,0.0,0.14136196843342863,0.7908705406802572,1.0,0.03125,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY106,0.6875,1.0,0.828125,0.0,0.15196917018490427,0.8068173441851346,1.0,0.0625,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY107,0.875,1.0,0.9375,0.0,0.167694663086314,0.7706177331248729,1.0,0.03125,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY108,0.75,1.0,0.8697916666666667,0.0,0.16088815525042832,0.73621974125763,1.0,0.125,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY109,0.875,1.0,0.9322916666666667,0.0,0.15468637192850576,0.7608291811326808,1.0,0.03125,1.0,1.0
60,template_adapted_retrieval,SYNTHFAMILY110,0.59375,1.0,0.7864583333333333,0.0,0.15493626054353535,0.8007643405296828,1.0,0.125,1.0,1.0
